edad,genero,estrato,discapacidad,es_barranquilla,es_colombia,departamento,ciudad,pais,programa,semestre_actual,tipo_estudiante,tipo_admision,estado_academico,promedio,materias_cursadas,materias_perdidas,materias_repetidas,icfes_total,icfes_matematicas,icfes_lectura,icfes_ciencias,icfes_sociales,icfes_ingles,tipo_colegio,calendario_colegio,becado,graduado,perdidas_Dpto._Derecho,perdidas_Dpto._Lenguas_Extranjeras,perdidas_Dpto._Español,perdidas_Dpto._de_Economía,perdidas_Dpto._Humanidades_y_Filosofía,perdidas_Dpto._Psicología,perdidas_Dpto._Química_y_Biología,perdidas_Dpto._Salud_Pública,perdidas_Dpto._Ing._Civil_y_Ambiental,perdidas_Dpto._Odontología,perdidas_Dpto._Cs_Politica_y_Rel_Intern,perdidas_Dpto._Historia_y_Cs._Sociales,perdidas_Dpto._Ingeniería_de_Sistemas,perdidas_Dpto._Ingeniería_Mecánica,perdidas_Dpto._Finanzas_y_Contaduría,perdidas_Dpto._Diseño,perdidas_Dpto._Educación,perdidas_Dpto._Arquitectura_y_Urbanismo,perdidas_Dpto._Ingeniería_Industrial,perdidas_Dpto._Matematicas_y_estadístic,perdidas_Dpto._Emprendim_y_Management,perdidas_Dpto._Comunicación_Social,perdidas_Dpto._Música,perdidas_Dpto._Física,perdidas_Dpto.Ing_Eléctrica-Electrónica,perdidas_Dpto._Enfermería,perdidas_Dpto._Mercadeo_y_Neg._Internac,perdidas_Dpto._Medicina,desertor
33,0,2,0,1,1,8,18,5,10,1.0,1,3,1,4.22,13,7,0,263.0,52.0,57.0,53.0,44.0,66.0,1,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20,0,4,0,0,1,8,157,5,27,1.0,1,3,1,3.65,12,7,0,348.0,68.0,63.0,69.0,68.0,100.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,1,3,0,0,1,8,157,5,0,0.0,1,3,5,3.2,12,8,0,293.0,66.0,56.0,58.0,56.0,55.0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
19,0,3,0,0,1,12,220,5,4,1.0,1,3,1,4.5,14,7,0,353.0,72.0,68.0,69.0,72.0,76.0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
19,1,4,0,1,1,8,18,5,18,1.0,1,3,5,4.22,11,5,0,367.0,75.0,73.0,73.0,70.0,80.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18,1,6,0,0,1,59,201,5,8,1.0,1,3,1,4.21,15,9,0,322.0,63.0,66.0,61.0,68.0,62.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
17,0,2,0,0,1,59,201,5,24,1.0,1,3,1,4.16,14,7,0,337.0,73.0,66.0,59.0,68.0,78.0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
18,0,1,0,0,1,59,201,5,4,1.0,1,3,1,4.56,14,7,0,368.0,68.0,75.0,76.0,75.0,74.0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
18,0,4,0,1,1,8,18,5,9,1.0,1,3,5,1.83,12,11,0,262.0,49.0,57.0,48.0,58.0,44.0,1,0,1,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
19,1,4,10,1,1,8,18,5,18,1.0,1,3,5,4.73,12,6,0,380.0,100.0,67.0,71.0,67.0,74.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
